Symbolic_Maths,Natural_Language
¬p,not p
¬p,the negation of p
¬q,not q
¬q,the negation of q
¬r,not r
¬r,the negation of r
¬s,not s
¬s,the negation of s
¬t,not t
¬t,the negation of t
¬A,not A
¬A,the negation of A
¬B,not B
¬B,the negation of B
¬C,not C
¬C,the negation of C
p ∧ q,p and q
p ∧ q,both p and q
p ∧ q,p is true and q is true
(p ∧ q),p and q
p ∧ r,p and r
p ∧ r,both p and r
p ∧ r,p is true and r is true
(p ∧ r),p and r
p ∧ s,p and s
p ∧ s,both p and s
p ∧ s,p is true and s is true
(p ∧ s),p and s
p ∧ t,p and t
p ∧ t,both p and t
p ∧ t,p is true and t is true
(p ∧ t),p and t
p ∧ A,p and A
p ∧ A,both p and A
p ∧ A,p is true and A is true
(p ∧ A),p and A
q ∧ r,q and r
q ∧ r,both q and r
q ∧ r,q is true and r is true
(q ∧ r),q and r
q ∧ s,q and s
q ∧ s,both q and s
q ∧ s,q is true and s is true
(q ∧ s),q and s
q ∧ t,q and t
q ∧ t,both q and t
q ∧ t,q is true and t is true
(q ∧ t),q and t
q ∧ A,q and A
q ∧ A,both q and A
q ∧ A,q is true and A is true
r ∧ s,r and s
r ∧ s,both r and s
r ∧ s,r is true and s is true
r ∧ t,r and t
r ∧ t,both r and t
r ∧ t,r is true and t is true
r ∧ A,r and A
r ∧ A,both r and A
r ∧ A,r is true and A is true
s ∧ t,s and t
s ∧ t,both s and t
s ∧ t,s is true and t is true
s ∧ A,s and A
s ∧ A,both s and A
s ∧ A,s is true and A is true
t ∧ A,t and A
t ∧ A,both t and A
t ∧ A,t is true and A is true
p ∨ q,p or q
p ∨ q,either p or q
p ∨ q,p is true or q is true
(p ∨ q),p or q
p ∨ r,p or r
p ∨ r,either p or r
p ∨ r,p is true or r is true
(p ∨ r),p or r
p ∨ s,p or s
p ∨ s,either p or s
p ∨ s,p is true or s is true
(p ∨ s),p or s
p ∨ t,p or t
p ∨ t,either p or t
p ∨ t,p is true or t is true
(p ∨ t),p or t
p ∨ A,p or A
p ∨ A,either p or A
p ∨ A,p is true or A is true
(p ∨ A),p or A
q ∨ r,q or r
q ∨ r,either q or r
q ∨ r,q is true or r is true
(q ∨ r),q or r
q ∨ s,q or s
q ∨ s,either q or s
q ∨ s,q is true or s is true
(q ∨ s),q or s
q ∨ t,q or t
q ∨ t,either q or t
q ∨ t,q is true or t is true
(q ∨ t),q or t
q ∨ A,q or A
q ∨ A,either q or A
q ∨ A,q is true or A is true
r ∨ s,r or s
r ∨ s,either r or s
r ∨ s,r is true or s is true
r ∨ t,r or t
r ∨ t,either r or t
r ∨ t,r is true or t is true
r ∨ A,r or A
r ∨ A,either r or A
r ∨ A,r is true or A is true
s ∨ t,s or t
s ∨ t,either s or t
s ∨ t,s is true or t is true
s ∨ A,s or A
s ∨ A,either s or A
s ∨ A,s is true or A is true
t ∨ A,t or A
t ∨ A,either t or A
t ∨ A,t is true or A is true
p → q,if p then q
p → q,p implies q
p → q,if p is true then q is true
p → q,p entails q
q → p,if q then p
q → p,q implies p
p → r,if p then r
p → r,p implies r
p → r,if p is true then r is true
p → r,p entails r
r → p,if r then p
r → p,r implies p
p → s,if p then s
p → s,p implies s
p → s,if p is true then s is true
p → s,p entails s
s → p,if s then p
s → p,s implies p
p → t,if p then t
p → t,p implies t
p → t,if p is true then t is true
p → t,p entails t
t → p,if t then p
t → p,t implies p
p → A,if p then A
p → A,p implies A
p → A,if p is true then A is true
p → A,p entails A
A → p,if A then p
A → p,A implies p
q → r,if q then r
q → r,q implies r
q → r,if q is true then r is true
q → r,q entails r
r → q,if r then q
r → q,r implies q
q → s,if q then s
q → s,q implies s
q → s,if q is true then s is true
q → s,q entails s
s → q,if s then q
s → q,s implies q
q → t,if q then t
q → t,q implies t
