Symbolic_Maths,Natural_Language
û,the unit vector u
{x ∈ X | Q x},The set of all elements in X satisfying property Q
x ∉ U,x is not a member of set U
q → (s → (r → p)),if q then if s then if r then p
proj_u(v),the projection of v onto u
U ⊆ Q,Set U is a subset of set Q
Bᶜ,The complement of B
"{v₁, v₂, v₃} is linearly dependent","the vectors {v₁, v₂, v₃} are linearly dependent"
‖u + x‖²,the squared norm of the sum of u and x
∃!x Q(x),there is exactly one x for which Q of x holds
"∀x ∀z R(x, z)","for all x and for all z, R(x, z) is true"
σ3(C),the third singular value of matrix C
A · x,matrix A applied to vector x
v ⊗ u,the tensor product of v and u
∃x (Q(x) → S(x)),there exists x such that if Q(x) then S(x)
"∃x, R(x)",there exists x such that R(x)
ĵ,the unit vector in the y direction
∀x in set S Even(x),"for all x in set S, Even(x)"
(s ↔ q) ∧ (r ↔ p),"s if and only if q, and r if and only if p"
A ∪ A = A,The union of A with itself equals A
Z ∪ (Z ∩ X) = Z,Absorption law for union: Z ∪ (Z ∩ X) = Z
u - x,the difference of vectors u and x
"d(v, u)",the distance between vectors v and u
A ⊆ V,A is a subset of V
"∃ x ∈ Q, Q x",There exists an element x in Q such that property Q holds
αu,the scalar alpha times vector u
∀a in D Q(a),"for all a in D, Q(a) is true"
S⊥,the orthogonal complement of subspace S
(v - y) × b,the cross product of the difference of v and y with b
e^B,the matrix exponential of B
∃x (P(x) ∨ S(x)),there exists x such that either P(x) or S(x) is true
ℂ³,the 3-dimensional complex coordinate space
B · P,the product of matrices B and P
∃!x R(x),there exists one and only one x such that R(x)
"d(v, w)",the distance between vectors v and w
t ∈ U,The element t is an element of set U
∃x Q(x),there is some x for which Q of x holds
t → A,if t is true then A is true
kA,the scalar k times matrix A
(AC)ᵀ,the transpose of the product of matrices A and C
c ∈ X ∩ W ↔ (c ∈ X ∧ c ∈ W),c is an element of the intersection of X and W if and only if c is in both X and W
∀x in the real numbers (Even(x) → Odd(x)),"for all x in the real numbers, if Even(x) then Odd(x)"
∅ \ A = ∅,The difference of the empty set and A equals the empty set
(p ∨ r) → q,if either p or r then q
∀x ∀y (f(x) = f(y) → x = y),"for all x and y, if f(x) equals f(y) then x equals y"
basis for V,a basis for vector space V
Aₘₙ,the m by n matrix A
"∀x ∃a Q(x, a)","for all x, there exists a such that Q(x, a) is true"
p ∧ A,both p and A
∀y in the domain Q(y),"for every y in the domain, Q of y holds"
