Symbolic_Maths,Natural_Language
"(v, u)",the inner product of v and u
∀x in the domain R(x),"for all x in the domain, R(x) is true"
λ1(B),the first eigenvalue of matrix B
(p ↔ r) ∧ (q ↔ s),"p if and only if r, and q if and only if s"
w + y,the sum of vectors w and y
uᵀBu,the quadratic form u transpose B u
Bw = μw,matrix B times vector w equals μ times vector w
∀y (R(y) ∨ S(y)),"for all y, either R(y) or S(y) is true"
∀z (R(z) ∨ S(z)),"for all z, either R(z) or S(z) is true"
Cw,matrix C times vector w
∃y (P(y) → Q(y)),there exists y such that if P(y) then Q(y)
∃!t Q(t),there exists a unique t such that Q(t)
p ∧ t,both p and t
r ↔ A,r is true if and only if A is true
(p ∧ s) → (q ∨ r),if both p and s then either q or r
q ∧ r,both q and r
"⟨u, x⟩",the inner product of u and x
∃x Q(x),there is some x for which Q of x holds
(p ↔ q) ↔ ((p ∧ q) ∨ (¬p ∧ ¬q)),"p if and only if q is equivalent to both p and q, or neither p nor q"
p → A,p entails A
‖M‖∞,the infinity norm of matrix M
A ∨ ¬A,A or not A is a tautology
∀x (P(x) → Q(x)),"for all x, if P(x) then Q(x)"
s → (r → (q → p)),if s then if r then if q then p
P ∨ ¬P,P or not P is a tautology
det(B + C),the determinant of the sum of matrices B and C
∀x in the domain D (Odd(x) → Prime(x)),"for all x in the domain D, if Odd(x) then Prime(x)"
range(f),the range of linear transformation f
λₘᵢₙ(A),the smallest eigenvalue of A
"∀a, P(a)","for all a, P(a)"
‖y‖∞,the infinity norm of vector y
v + y,the sum of vectors v and y
B = QΛQᵀ,matrix B equals Q times Lambda times Q transpose
(A - λI)v = 0,matrix A minus λ times the identity matrix times vector v equals zero
∀y (P(y) ∧ R(y)),"for all y, both P(y) and R(y) are true"
(v + y) ⋅ b,the dot product of the sum of v and y with b
B + C,the sum of matrices B and C
"∀z, P(z)","for all z, P(z)"
∀x in the integers (Positive(x) → Even(x)),"for all x in the integers, if Positive(x) then Even(x)"
(p ∧ r),p and r
w ⋅ (x + a),the dot product of w with the sum of x and a
p ↔ r,p is true if and only if r is true
∀x P(x),"for every x, P of x holds"
∃x in D P(x),there is some x in D for which P of x holds
r ∨ ¬r,r or not r is a tautology
r → (q → (s → p)),if r then if q then if s then p
det(B - λI),the characteristic polynomial of matrix B
"∃x ∀y T(x, y)","there exists x such that for all y, T(x, y) holds"
P → (P ∨ Q),if P then P or Q
B is symmetric,matrix B is symmetric
Cᵢⱼ,the entry in row i and column j of matrix C
q ∧ r,q is true and r is true
SVD(B),the singular value decomposition of matrix B
tr(αC),the trace of α times matrix C
C is upper triangular,matrix C is upper triangular
(r ↔ s) ∧ (p ↔ q),"r if and only if s, and p if and only if q"
t ∧ A,t and A
∃y in D Q(y),there is some y in D for which Q of y holds
A → r,if A then r
B - M,the difference of matrices B and M
B ∈ ℝᵐˣⁿ,matrix B is an m by n real matrix
det(B) = Πλᵢ,the determinant of B equals the product of its eigenvalues
annihilator of S,the annihilator of set S
"u = [u₁, u₂]",the vector u with components u1 and u2
p ↔ q,p and q have the same truth value
p ↔ r,p if and only if r
U ⊕ V = W,the direct sum of U and V equals W
L(x),the linear operator L applied to vector x
A ≈ B,matrix A is approximately equal to matrix B
(q ∨ r) ∧ (s ∨ p),"either q or r, and either s or p"
∃x (P(x) → S(x)),there exists x such that if P(x) then S(x)
Cᵀu,the transpose of matrix C times vector u
p ∨ q ↔ q ∨ p,p or q is equivalent to q or p
∀x in set S (Positive(x) → Even(x)),"for all x in set S, if Positive(x) then Even(x)"
q → (p → (r → s)),if q then if p then if r then s
∃y (Q(y) ∧ S(y)),there exists y such that both Q(y) and S(y) are true
Pᵀᵀ,the transpose of the transpose of matrix P
det(C),the determinant of matrix C
t → A,t implies A
‖u - x‖,the distance between vectors u and x
"(w, x)",the inner product of w and x
∃z in D Q(z),there exists z in D such that Q(z) is true
T(v + w),T applied to the sum of v and w
∃y (Q(y) ∧ R(y)),there exists y such that both Q(y) and R(y) are true
"z = [z₁, z₂]",the vector z with components z1 and z2
∀x in set S Odd(x),"for all x in set S, Odd(x)"
"span{w₁, w₂}","the span of vectors {w₁, w₂}"
λ2(C),the second eigenvalue of matrix C
(s ∨ q) ∧ (p ∨ r),"either s or q, and either p or r"
¬q,the negation of q
¬∀x P(x) ↔ ∃x ¬P(x),not for all x P(x) is equivalent to there exists x such that not P(x)
s → A,s entails A
uᵢ,the i-th component of vector u
(r → q) ∧ (r ∧ ¬q),"if r then q, and r and not q, is a contradiction"
(v + w) ⋅ a,the dot product of the sum of v and w with a
λₘₐₓ(B),the largest eigenvalue of B
r → t,r entails t
s → q,s implies q
[v]_S,the coordinate vector of v with respect to basis S
"∃x in D, R(x)",there exists x in D such that R(x)
∃x (R(x) ∧ S(x)),there exists x such that both R(x) and S(x) are true
r → q,if r then q
BPᵀ,matrix B times the transpose of P
s → t,if s then t
û,the unit vector u
‖w‖ + ‖u‖,the sum of the norms of w and u
λ3(B),the third eigenvalue of matrix B
rank(L),the rank of linear transformation L
v - y,the difference of vectors v and y
q → r,if q then r
p ∨ t,p or t
s ∧ A,s is true and A is true
"∃x ∃y (∀z S(z, x) ∧ ∀z T(z, y))","there exist x and y such that for all z, S(z, x) and for all z, T(z, y)"
(P ∧ Q) → P,if P and Q then P
"⟨{w₁, w₂}⟩","the subspace generated by vectors {w₁, w₂}"
det(BC),the determinant of the product of matrices B and C
∀x (R(x) ∨ S(x)),"for all x, either R(x) or S(x) is true"
p ↔ s,p is equivalent to s
det(A),the determinant of matrix A
r ↔ s,r if and only if s
∃x in the domain Q(x),there is some x in the domain for which Q of x holds
∃x in the natural numbers Positive(x),there exists x in the natural numbers such that Positive(x)
(kC)ᵀ,the transpose of k times matrix C
M = LU,matrix M equals L times U
∃x in D Q(x),there is some x in D for which Q of x holds
(w - y) × b,the cross product of the difference of w and y with b
∃x in the natural numbers (Even(x) ∧ Odd(x)),there exists x in the natural numbers such that both Even(x) and Odd(x)
σ2(C),the second singular value of matrix C
(s ∧ p) → (r ∨ q),if both s and p then either r or q
∃y (R(y) ∧ S(y)),there exists y such that both R(y) and S(y) are true
∀z (R(z) → S(z)),"for all z, if R(z) then S(z)"
(p ↔ s) ∧ (r ↔ q),"p if and only if s, and r if and only if q"
∃z (P(z) ∨ S(z)),there exists z such that either P(z) or S(z) is true
det(BM),the determinant of the product of matrices B and M
∀x in the domain D Odd(x),"for all x in the domain D, Odd(x)"
∇²f(x),the Hessian of f at x
¬¬q ↔ q,the negation of not q is equivalent to q
Av = λv,the matrix A times vector v equals the scalar lambda times vector v
p ↔ q,p if and only if q
(t ↔ s) ↔ ((t → s) ∧ (s → t)),t if and only if s is esuivalent to if t then s and if s then t
ℝ⁴,the 4-dimensional real coordinate space
p ↔ q,p is equivalent to q
Aw = u,the linear system A times w equals u
∃x (P(x) ∨ Q(x)) ↔ ∃x P(x) ∨ ∃x Q(x),there exists x such that P(x) or Q(x) is equivalent to there exists x P(x) or there exists x Q(x)
"d(w, u)",the distance between vectors w and u
∀x in the integers (Even(x) → Odd(x)),"for all x in the integers, if Even(x) then Odd(x)"
Cu = μu,matrix C times vector u equals μ times vector u
(r ∨ s) ∧ (q ∨ p),"either r or s, and either q or p"
(w - x) × b,the cross product of the difference of w and x with b
r ∧ ¬r,r and not r is a contradiction
