Symbolic_Maths,Natural_Language
"v = [v₁, v₂, ..., vₙ]","the vector v with components v1, v2, through vn"
"v = [v₁, v₂, v₃]","the vector v with components v1, v2, and v3"
"v = [v₁, v₂]",the vector v with components v1 and v2
"[v₁, v₂, v₃]","the vector with components v1, v2, and v3"
"(v₁, v₂, v₃)","the vector with components v1, v2, and v3"
vᵢ,the i-th component of vector v
"w = [w₁, w₂, ..., wₙ]","the vector w with components w1, w2, through wn"
"w = [w₁, w₂, w₃]","the vector w with components w1, w2, and w3"
"w = [w₁, w₂]",the vector w with components w1 and w2
"[w₁, w₂, w₃]","the vector with components w1, w2, and w3"
"(w₁, w₂, w₃)","the vector with components w1, w2, and w3"
wᵢ,the i-th component of vector w
"u = [u₁, u₂, ..., uₙ]","the vector u with components u1, u2, through un"
"u = [u₁, u₂, u₃]","the vector u with components u1, u2, and u3"
"u = [u₁, u₂]",the vector u with components u1 and u2
"[u₁, u₂, u₃]","the vector with components u1, u2, and u3"
"(u₁, u₂, u₃)","the vector with components u1, u2, and u3"
uᵢ,the i-th component of vector u
"x = [x₁, x₂, ..., xₙ]","the vector x with components x1, x2, through xn"
"x = [x₁, x₂, x₃]","the vector x with components x1, x2, and x3"
"x = [x₁, x₂]",the vector x with components x1 and x2
"[x₁, x₂, x₃]","the vector with components x1, x2, and x3"
"(x₁, x₂, x₃)","the vector with components x1, x2, and x3"
xᵢ,the i-th component of vector x
"y = [y₁, y₂, ..., yₙ]","the vector y with components y1, y2, through yn"
"y = [y₁, y₂, y₃]","the vector y with components y1, y2, and y3"
"y = [y₁, y₂]",the vector y with components y1 and y2
"[y₁, y₂, y₃]","the vector with components y1, y2, and y3"
"(y₁, y₂, y₃)","the vector with components y1, y2, and y3"
yᵢ,the i-th component of vector y
"z = [z₁, z₂, ..., zₙ]","the vector z with components z1, z2, through zn"
"z = [z₁, z₂, z₃]","the vector z with components z1, z2, and z3"
"z = [z₁, z₂]",the vector z with components z1 and z2
"[z₁, z₂, z₃]","the vector with components z1, z2, and z3"
"(z₁, z₂, z₃)","the vector with components z1, z2, and z3"
zᵢ,the i-th component of vector z
v = [v₁; v₂; v₃],"the column vector v with components v1, v2, and v3"
vᵀ,the transpose of vector v
[v₁ v₂ v₃],"the row vector with components v1, v2, and v3"
w = [w₁; w₂; w₃],"the column vector w with components w1, w2, and w3"
wᵀ,the transpose of vector w
[w₁ w₂ w₃],"the row vector with components w1, w2, and w3"
u = [u₁; u₂; u₃],"the column vector u with components u1, u2, and u3"
uᵀ,the transpose of vector u
[u₁ u₂ u₃],"the row vector with components u1, u2, and u3"
x = [x₁; x₂; x₃],"the column vector x with components x1, x2, and x3"
xᵀ,the transpose of vector x
[x₁ x₂ x₃],"the row vector with components x1, x2, and x3"
v + w,the sum of vectors v and w
v - w,the difference of vectors v and w
v + w + a,"the sum of vectors v, w, and a"
cv,the scalar c times vector v
αv,the scalar alpha times vector v
kv,the scalar k times vector v
-v,the negative of vector v
v ⋅ w,the dot product of vectors v and w
"⟨v, w⟩",the inner product of vectors v and w
v · w,the dot product of vectors v and w
vᵀw,the transpose of v times w
v × w,the cross product of vectors v and w
v ∧ w,the wedge product of vectors v and w
v + u,the sum of vectors v and u
v - u,the difference of vectors v and u
v + u + a,"the sum of vectors v, u, and a"
v ⋅ u,the dot product of vectors v and u
"⟨v, u⟩",the inner product of vectors v and u
v · u,the dot product of vectors v and u
vᵀu,the transpose of v times u
v × u,the cross product of vectors v and u
v ∧ u,the wedge product of vectors v and u
v + x,the sum of vectors v and x
v - x,the difference of vectors v and x
v + x + a,"the sum of vectors v, x, and a"
v ⋅ x,the dot product of vectors v and x
"⟨v, x⟩",the inner product of vectors v and x
v · x,the dot product of vectors v and x
vᵀx,the transpose of v times x
v × x,the cross product of vectors v and x
v ∧ x,the wedge product of vectors v and x
v + y,the sum of vectors v and y
v - y,the difference of vectors v and y
v + y + a,"the sum of vectors v, y, and a"
v ⋅ y,the dot product of vectors v and y
"⟨v, y⟩",the inner product of vectors v and y
v · y,the dot product of vectors v and y
vᵀy,the transpose of v times y
v × y,the cross product of vectors v and y
v ∧ y,the wedge product of vectors v and y
w + u,the sum of vectors w and u
w - u,the difference of vectors w and u
w + u + a,"the sum of vectors w, u, and a"
cw,the scalar c times vector w
αw,the scalar alpha times vector w
kw,the scalar k times vector w
-w,the negative of vector w
w ⋅ u,the dot product of vectors w and u
"⟨w, u⟩",the inner product of vectors w and u
w · u,the dot product of vectors w and u
wᵀu,the transpose of w times u
w × u,the cross product of vectors w and u
w ∧ u,the wedge product of vectors w and u
w + x,the sum of vectors w and x
w - x,the difference of vectors w and x
w + x + a,"the sum of vectors w, x, and a"
w ⋅ x,the dot product of vectors w and x
"⟨w, x⟩",the inner product of vectors w and x
w · x,the dot product of vectors w and x
wᵀx,the transpose of w times x
w × x,the cross product of vectors w and x
w ∧ x,the wedge product of vectors w and x
w + y,the sum of vectors w and y
w - y,the difference of vectors w and y
w + y + a,"the sum of vectors w, y, and a"
w ⋅ y,the dot product of vectors w and y
"⟨w, y⟩",the inner product of vectors w and y
w · y,the dot product of vectors w and y
wᵀy,the transpose of w times y
w × y,the cross product of vectors w and y
w ∧ y,the wedge product of vectors w and y
u + x,the sum of vectors u and x
u - x,the difference of vectors u and x
u + x + a,"the sum of vectors u, x, and a"
cu,the scalar c times vector u
αu,the scalar alpha times vector u
ku,the scalar k times vector u
-u,the negative of vector u
u ⋅ x,the dot product of vectors u and x
"⟨u, x⟩",the inner product of vectors u and x
u · x,the dot product of vectors u and x
uᵀx,the transpose of u times x
u × x,the cross product of vectors u and x
u ∧ x,the wedge product of vectors u and x
u + y,the sum of vectors u and y
u - y,the difference of vectors u and y
u + y + a,"the sum of vectors u, y, and a"
u ⋅ y,the dot product of vectors u and y
"⟨u, y⟩",the inner product of vectors u and y
u · y,the dot product of vectors u and y
uᵀy,the transpose of u times y
u × y,the cross product of vectors u and y
u ∧ y,the wedge product of vectors u and y
‖v‖,the norm of vector v
‖v‖₂,the Euclidean norm of vector v
‖v‖₁,the L1 norm of vector v
‖v‖∞,the infinity norm of vector v
